"user_text","intention_score","age","gender_male","gender_female","gender_non_binary"
"i’m dead after that tiktok binge","2","14","0","0","1"
"my social life is over lol","2","13","1","0","0"
"i hate my life deadass, i just wanna disappear","10","15","0","1","0"
"i don’t wanna be here anymore","9","18","0","1","0"
"this exam is gonna kill me ","0","15","1","0","0"
"nobody gets me, i’m done deadass","8","13","0","1","0"
"my social life is over lol","1","15","1","0","0"
"i’m dead after that tiktok binge","2","18","0","1","0"
"my social life is over ","1","13","0","1","0"
"my social life is over idk","1","18","1","0","0"
"this exam is gonna kill me idk","1","18","1","0","0"
"i’m so depressed, it’s all pointless","9","14","0","0","1"
"i’m dead after that tiktok binge","0","13","0","1","0"
"my social life is over lol","0","19","0","0","1"
"my social life is over lol","1","16","1","0","0"
"my social life is over idk","1","14","0","1","0"
"i’m dead after that tiktok binge","2","18","0","1","0"
"i hate my life deadass, i just wanna disappear","8","16","1","0","0"
"i’m dead after that tiktok binge","2","17","0","0","1"
"i’m dead after that tiktok binge","1","18","1","0","0"
"this exam is gonna kill me ","0","14","0","0","1"
"my mom will end me if i fail","0","17","1","0","0"
"i’m so depressed, it’s all pointless","8","18","0","0","1"
"i hate my life fr, i just wanna disappear","10","15","0","1","0"
"nobody gets me, i’m done lol","8","15","1","0","0"
"my mom will end me if i fail","1","14","0","1","0"
"i’m so depressed, it’s all pointless","9","19","0","1","0"
"nobody gets me, i’m done deadass","10","18","0","0","1"
"i don’t wanna be here anymore","8","19","0","0","1"
"i’m so depressed, it’s all pointless","8","14","1","0","0"
"i don’t wanna be here anymore","8","16","0","1","0"
"i’m dead after that tiktok binge","2","15","1","0","0"
"i hate my life deadass, i just wanna disappear","10","13","0","1","0"
"nobody gets me, i’m done fr","8","14","1","0","0"
"i’m dead after that tiktok binge","1","14","1","0","0"
"my mom will end me if i fail","1","19","1","0","0"
"my mom will end me if i fail","2","19","1","0","0"
"i’m dead after that tiktok binge","2","15","0","1","0"
"i don’t wanna be here anymore","10","16","1","0","0"
"my mom will end me if i fail","2","15","0","1","0"
"my mom will end me if i fail","0","18","1","0","0"
"my social life is over deadass","0","19","1","0","0"
"nobody gets me, i’m done ","10","15","0","1","0"
"i don’t wanna be here anymore","10","19","0","1","0"
"nobody gets me, i’m done ","9","15","0","1","0"
"nobody gets me, i’m done lol","9","14","0","1","0"
"my mom will end me if i fail","1","13","0","1","0"
"i’m dead after that tiktok binge","0","19","1","0","0"
"i’m dead after that tiktok binge","0","14","1","0","0"
"my social life is over deadass","1","13","1","0","0"
"my mom will end me if i fail","1","18","0","0","1"
"my social life is over lol","1","17","0","0","1"
"nobody gets me, i’m done deadass","10","16","0","1","0"
"this exam is gonna kill me fr","2","13","0","0","1"
"nobody gets me, i’m done fr","9","14","1","0","0"
"i hate my life , i just wanna disappear","9","13","1","0","0"
"nobody gets me, i’m done idk","9","19","0","1","0"
"this exam is gonna kill me lol","0","17","0","1","0"
"i don’t wanna be here anymore","9","17","0","0","1"
"my mom will end me if i fail","0","18","1","0","0"
"nobody gets me, i’m done idk","8","17","1","0","0"
"i don’t wanna be here anymore","10","13","1","0","0"
"i’m so depressed, it’s all pointless","9","15","1","0","0"
"i’m dead after that tiktok binge","1","15","1","0","0"
"my mom will end me if i fail","1","16","0","1","0"
"this exam is gonna kill me lol","2","15","1","0","0"
"i hate my life fr, i just wanna disappear","8","14","1","0","0"
"nobody gets me, i’m done fr","9","19","1","0","0"
"my mom will end me if i fail","1","13","1","0","0"
"my mom will end me if i fail","2","19","0","0","1"
"this exam is gonna kill me deadass","0","19","1","0","0"
"i’m so depressed, it’s all pointless","8","17","1","0","0"
"my social life is over idk","0","13","1","0","0"
"this exam is gonna kill me ","2","14","0","0","1"
"i’m so depressed, it’s all pointless","10","18","0","1","0"
"nobody gets me, i’m done deadass","8","18","1","0","0"
"my mom will end me if i fail","1","14","1","0","0"
"this exam is gonna kill me idk","2","19","0","1","0"
"i don’t wanna be here anymore","10","16","1","0","0"
"my mom will end me if i fail","0","19","0","0","1"
"i’m dead after that tiktok binge","1","19","0","1","0"
"nobody gets me, i’m done lol","8","14","0","0","1"
"i’m dead after that tiktok binge","0","14","0","0","1"
"my social life is over deadass","1","17","0","0","1"
"this exam is gonna kill me lol","0","15","0","0","1"
"my social life is over lol","0","18","1","0","0"
"i don’t wanna be here anymore","8","17","1","0","0"
"i’m so depressed, it’s all pointless","8","14","1","0","0"
"this exam is gonna kill me fr","1","15","0","1","0"
"i’m dead after that tiktok binge","1","18","1","0","0"
"my mom will end me if i fail","1","19","1","0","0"
"my mom will end me if i fail","0","13","0","1","0"
"my mom will end me if i fail","0","18","0","1","0"
"nobody gets me, i’m done deadass","9","17","1","0","0"
"my social life is over deadass","0","13","1","0","0"
"i’m dead after that tiktok binge","1","18","1","0","0"
"this exam is gonna kill me idk","1","16","1","0","0"
"my mom will end me if i fail","0","17","1","0","0"
"i hate my life , i just wanna disappear","9","19","1","0","0"
"i don’t wanna be here anymore","10","14","0","1","0"
"nobody gets me, i’m done lol","8","13","0","1","0"
"i don’t wanna be here anymore","8","14","1","0","0"
"my social life is over idk","2","19","0","0","1"
"i’m dead after that tiktok binge","1","14","1","0","0"
"i’m dead after that tiktok binge","0","16","1","0","0"
"this exam is gonna kill me ","0","18","1","0","0"
"i’m dead after that tiktok binge","1","16","0","1","0"
"i hate my life idk, i just wanna disappear","10","17","0","0","1"
"i’m so depressed, it’s all pointless","9","19","0","1","0"
"my social life is over ","0","18","1","0","0"
"i’m dead after that tiktok binge","0","19","0","1","0"
"i’m so depressed, it’s all pointless","9","15","0","1","0"
"my social life is over ","2","18","1","0","0"
"nobody gets me, i’m done deadass","9","16","1","0","0"
"this exam is gonna kill me idk","1","15","0","1","0"
"my social life is over idk","1","14","1","0","0"
"this exam is gonna kill me idk","2","13","0","1","0"
"i don’t wanna be here anymore","8","17","0","0","1"
"i hate my life fr, i just wanna disappear","8","14","0","1","0"
"my mom will end me if i fail","0","17","1","0","0"
"my social life is over idk","1","18","0","1","0"
"my social life is over lol","0","15","1","0","0"
"my social life is over fr","0","19","1","0","0"
"this exam is gonna kill me lol","2","17","0","1","0"
"my mom will end me if i fail","1","13","0","1","0"
"i’m so depressed, it’s all pointless","9","15","1","0","0"
"this exam is gonna kill me deadass","0","19","0","1","0"
"this exam is gonna kill me idk","1","17","0","1","0"
"i’m dead after that tiktok binge","0","18","0","1","0"
"my social life is over ","0","15","0","0","1"
"i’m so depressed, it’s all pointless","10","14","0","1","0"
"this exam is gonna kill me fr","1","16","1","0","0"
"this exam is gonna kill me ","1","17","1","0","0"
"my social life is over ","1","13","0","0","1"
"i’m dead after that tiktok binge","2","13","1","0","0"
"i’m so depressed, it’s all pointless","8","17","0","1","0"
"nobody gets me, i’m done fr","10","17","0","0","1"
"i hate my life fr, i just wanna disappear","8","16","0","0","1"
"i’m dead after that tiktok binge","1","18","1","0","0"
"my mom will end me if i fail","0","19","0","1","0"
"this exam is gonna kill me idk","2","14","0","0","1"
"this exam is gonna kill me lol","0","16","0","1","0"
"my mom will end me if i fail","2","13","0","1","0"
"nobody gets me, i’m done idk","9","16","1","0","0"
"nobody gets me, i’m done idk","8","19","0","1","0"
"nobody gets me, i’m done lol","9","13","0","0","1"
"my mom will end me if i fail","2","19","0","0","1"
"i don’t wanna be here anymore","9","19","0","0","1"
"my mom will end me if i fail","0","13","0","1","0"
"my mom will end me if i fail","1","17","1","0","0"
"my social life is over deadass","2","14","0","0","1"
"i’m dead after that tiktok binge","1","18","0","0","1"
"my mom will end me if i fail","0","17","0","1","0"
"i’m so depressed, it’s all pointless","10","15","0","0","1"
"i don’t wanna be here anymore","8","13","0","1","0"
"my social life is over ","2","13","0","1","0"
"this exam is gonna kill me ","1","13","1","0","0"
"my mom will end me if i fail","1","14","0","1","0"
"i’m dead after that tiktok binge","2","16","0","0","1"
"this exam is gonna kill me lol","1","16","0","1","0"
"i don’t wanna be here anymore","10","17","0","1","0"
"my mom will end me if i fail","1","19","0","1","0"
"i’m dead after that tiktok binge","2","14","1","0","0"
"my mom will end me if i fail","1","19","0","0","1"
"my social life is over idk","2","19","1","0","0"
"this exam is gonna kill me idk","2","15","0","1","0"
"i’m so depressed, it’s all pointless","9","15","1","0","0"
"this exam is gonna kill me fr","2","13","1","0","0"
"nobody gets me, i’m done idk","10","15","0","1","0"
"i don’t wanna be here anymore","8","17","1","0","0"
"i’m dead after that tiktok binge","2","15","1","0","0"
"i’m dead after that tiktok binge","0","18","0","0","1"
"i don’t wanna be here anymore","8","19","0","1","0"
"my social life is over lol","1","19","0","1","0"
"my social life is over lol","2","16","0","1","0"
"i’m so depressed, it’s all pointless","9","17","0","1","0"
"i’m so depressed, it’s all pointless","9","19","1","0","0"
"this exam is gonna kill me idk","2","18","0","1","0"
"this exam is gonna kill me lol","2","13","0","0","1"
"i’m dead after that tiktok binge","2","16","1","0","0"
"my social life is over ","2","13","1","0","0"
"my social life is over fr","0","19","1","0","0"
"my mom will end me if i fail","1","18","0","0","1"
"my mom will end me if i fail","0","17","0","1","0"
"this exam is gonna kill me deadass","2","15","1","0","0"
"i’m dead after that tiktok binge","2","14","0","1","0"
"i’m dead tired after that shift","0","28","0","1","0"
"i’m so lost, what’s the point of this job?","9","22","1","0","0"
"nobody cares, i could just vanish","8","21","0","1","0"
"i’m dying to see that movie lit","1","34","0","1","0"
"i’m so lost, what’s the point of this job?","10","25","1","0","0"
"i’m dead tired after that shift","0","26","1","0","0"
"i’m dead tired after that shift","1","21","0","1","0"
"i feel trapped in this life","9","21","0","0","1"
"i’m dying to see that movie lit","0","31","1","0","0"
"my boss is killing me with work","0","29","0","0","1"
"i’m dead tired after that shift","2","23","1","0","0"
"i’m drowning in debt and hopelessness","8","33","0","1","0"
"i’m so lost, what’s the point of this job?","9","23","0","1","0"
"my student loans are the death of me","1","33","1","0","0"
"nobody cares, i could just vanish","9","21","0","1","0"
"my student loans are the death of me","1","34","0","1","0"
"i’m dead tired after that shift","1","32","0","1","0"
"my student loans are the death of me","2","35","0","1","0"
"i feel trapped in this life","8","25","0","0","1"
"i’m dead tired after that shift","1","28","1","0","0"
"my student loans are the death of me","0","35","1","0","0"
"i’m dead tired after that shift","2","31","1","0","0"
"i’m so lost, what’s the point of this job?","10","34","1","0","0"
"i’m dead tired after that shift","0","33","1","0","0"
"my boss is killing me with work","1","27","1","0","0"
"i’m dead tired after that shift","0","35","1","0","0"
"i’m drowning in debt and hopelessness","9","32","0","0","1"
"my boss is killing me with work","1","34","0","1","0"
"my boss is killing me with work","1","31","0","1","0"
"i’m dying to see that movie lit","0","27","0","1","0"
"i’m dead tired after that shift","2","30","0","1","0"
"i’m dead tired after that shift","0","23","1","0","0"
"my boss is killing me with work","0","35","0","0","1"
"i’m dying to see that movie lit","2","33","0","1","0"
"i’m so lost, what’s the point of this job?","10","20","1","0","0"
"my student loans are the death of me","1","34","0","1","0"
"i’m dying to see that movie bruh","1","23","0","0","1"
"i’m so lost, what’s the point of this job?","8","32","1","0","0"
"i feel trapped in this life","10","33","0","1","0"
"nobody cares, i could just vanish","8","30","0","1","0"
"i’m dying to see that movie vibes","2","35","0","1","0"
"i’m dying to see that movie lit","2","20","0","0","1"
"i’m dead tired after that shift","2","21","1","0","0"
"nobody cares, i could just vanish","8","21","0","0","1"
"i’m so lost, what’s the point of this job?","9","25","0","1","0"
"my student loans are the death of me","1","33","0","1","0"
"i’m dead tired after that shift","0","31","0","0","1"
"i’m dead tired after that shift","2","25","1","0","0"
"my boss is killing me with work","1","28","0","1","0"
"i’m dying to see that movie vibes","1","31","1","0","0"
"i’m dead tired after that shift","0","34","1","0","0"
"my boss is killing me with work","1","22","0","0","1"
"i’m dying to see that movie lit","1","20","0","0","1"
"my boss is killing me with work","2","23","1","0","0"
"my boss is killing me with work","1","22","1","0","0"
"my boss is killing me with work","2","33","1","0","0"
"my boss is killing me with work","0","26","0","1","0"
"my student loans are the death of me","1","20","1","0","0"
"i’m dying to see that movie vibes","1","23","1","0","0"
"my student loans are the death of me","0","27","0","1","0"
"i’m dead tired after that shift","1","35","1","0","0"
"i’m dead tired after that shift","2","27","1","0","0"
"i’m so lost, what’s the point of this job?","10","32","0","1","0"
"i’m dead tired after that shift","0","32","0","1","0"
"i’m dying to see that movie vibes","2","30","0","1","0"
"i’m dead tired after that shift","2","27","1","0","0"
"my boss is killing me with work","1","26","1","0","0"
"i’m dead tired after that shift","1","28","0","0","1"
"i’m dead tired after that shift","0","21","0","1","0"
"my student loans are the death of me","0","27","1","0","0"
"i’m dead tired after that shift","0","34","0","1","0"
"my boss is killing me with work","0","35","1","0","0"
"i’m dead tired after that shift","2","34","0","1","0"
"my student loans are the death of me","0","31","1","0","0"
"i’m dying to see that movie lit","0","27","1","0","0"
"i feel trapped in this life","10","33","1","0","0"
"my boss is killing me with work","2","34","1","0","0"
"my boss is killing me with work","2","24","0","1","0"
"i feel trapped in this life","9","24","0","0","1"
"my student loans are the death of me","1","27","0","1","0"
"nobody cares, i could just vanish","10","31","1","0","0"
"nobody cares, i could just vanish","9","24","0","1","0"
"nobody cares, i could just vanish","9","28","0","1","0"
"my boss is killing me with work","1","20","0","1","0"
"i’m so lost, what’s the point of this job?","8","30","0","0","1"
"i’m drowning in debt and hopelessness","9","30","0","0","1"
"my student loans are the death of me","2","33","1","0","0"
"my boss is killing me with work","2","34","0","1","0"
"my student loans are the death of me","1","30","1","0","0"
"my boss is killing me with work","2","27","0","1","0"
"nobody cares, i could just vanish","10","31","1","0","0"
"i feel trapped in this life","10","25","0","0","1"
"i’m so lost, what’s the point of this job?","10","35","0","0","1"
"i’m drowning in debt and hopelessness","9","25","0","0","1"
"i’m dying to see that movie vibes","0","33","1","0","0"
"i’m dead tired after that shift","0","26","0","1","0"
"my boss is killing me with work","2","29","0","1","0"
"i’m drowning in debt and hopelessness","9","34","0","1","0"
"i’m dead tired after that shift","2","22","1","0","0"
"i’m so lost, what’s the point of this job?","10","23","1","0","0"
"i’m dying to see that movie ","1","20","0","1","0"
"i’m so lost, what’s the point of this job?","9","27","0","1","0"
"i’m drowning in debt and hopelessness","8","26","0","1","0"
"i’m dying to see that movie lit","2","29","1","0","0"
"i’m dead tired after that shift","0","32","0","1","0"
"i feel trapped in this life","8","24","0","1","0"
"i’m so lost, what’s the point of this job?","10","29","1","0","0"
"my boss is killing me with work","1","28","1","0","0"
"i’m dying to see that movie bruh","1","21","1","0","0"
"nobody cares, i could just vanish","10","30","0","1","0"
"i’m drowning in debt and hopelessness","8","23","1","0","0"
"my boss is killing me with work","1","28","0","0","1"
"my boss is killing me with work","1","30","1","0","0"
"my boss is killing me with work","2","20","0","1","0"
"i’m so lost, what’s the point of this job?","8","22","1","0","0"
"i’m dead tired after that shift","1","33","1","0","0"
"i’m dying to see that movie bruh","1","32","0","1","0"
"i’m dead tired after that shift","2","33","1","0","0"
"i’m dead tired after that shift","1","28","0","0","1"
"my boss is killing me with work","2","21","0","1","0"
"i’m drowning in debt and hopelessness","10","29","1","0","0"
"i’m dead tired after that shift","2","25","1","0","0"
"i’m so lost, what’s the point of this job?","9","26","1","0","0"
"my student loans are the death of me","2","20","0","1","0"
"my student loans are the death of me","1","29","0","1","0"
"my boss is killing me with work","1","22","0","0","1"
"i’m drowning in debt and hopelessness","9","34","1","0","0"
"i’m dying to see that movie lit","0","25","1","0","0"
"my student loans are the death of me","1","23","1","0","0"
"i’m dying to see that movie vibes","2","35","0","1","0"
"i’m dying to see that movie bruh","2","26","0","0","1"
"nobody cares, i could just vanish","10","27","1","0","0"
"i’m dying to see that movie bruh","2","26","0","1","0"
"i’m dying to see that movie ","1","33","0","1","0"
"i’m so lost, what’s the point of this job?","8","20","0","1","0"
"i’m dead tired after that shift","1","34","0","1","0"
"i’m dead tired after that shift","1","29","1","0","0"
"i’m dying to see that movie lit","1","24","0","1","0"
"i’m dead tired after that shift","1","32","1","0","0"
"i’m dead tired after that shift","0","25","0","1","0"
"i’m dying to see that movie vibes","2","20","0","1","0"
"my student loans are the death of me","1","27","0","1","0"
"i’m dead tired after that shift","2","28","0","0","1"
"my boss is killing me with work","1","24","0","1","0"
"i’m dead tired after that shift","0","24","0","0","1"
"i feel trapped in this life","9","29","0","1","0"
"my boss is killing me with work","1","23","1","0","0"
"i’m dying to see that movie lit","0","21","1","0","0"
"my boss is killing me with work","2","23","0","1","0"
"my boss is killing me with work","1","22","1","0","0"
"i’m dying to see that movie lit","2","35","0","1","0"
"nobody cares, i could just vanish","9","25","1","0","0"
"i’m dying to see that movie vibes","0","31","1","0","0"
"i’m dead tired after that shift","0","28","1","0","0"
"nobody cares, i could just vanish","9","20","0","1","0"
"my boss is killing me with work","2","31","0","0","1"
"i’m drowning in debt and hopelessness","8","30","0","1","0"
"my boss is killing me with work","1","21","1","0","0"
"i’m so lost, what’s the point of this job?","10","29","1","0","0"
"my student loans are the death of me","2","20","0","0","1"
"i’m dead tired after that shift","2","28","0","1","0"
"i’m dying to see that movie bruh","2","25","1","0","0"
"nobody cares, i could just vanish","8","25","0","0","1"
"i’m dead tired after that shift","2","32","1","0","0"
"my student loans are the death of me","1","23","1","0","0"
"i’m dying to see that movie bruh","0","35","1","0","0"
"i’m dying to see that movie lit","1","25","0","0","1"
"my boss is killing me with work","0","24","0","0","1"
"i’m dead tired after that shift","1","32","1","0","0"
"nobody cares, i could just vanish","8","29","0","1","0"
"my boss is killing me with work","0","25","1","0","0"
"my student loans are the death of me","1","25","1","0","0"
"my boss is killing me with work","0","25","1","0","0"
"i’m drowning in debt and hopelessness","10","23","0","1","0"
"my boss is killing me with work","2","29","1","0","0"
"i’m dead tired after that shift","2","28","0","1","0"
"i’m drowning in debt and hopelessness","10","23","1","0","0"
"my student loans are the death of me","2","25","0","0","1"
"my student loans are the death of me","1","25","1","0","0"
"nobody cares, i could just vanish","9","26","1","0","0"
"i feel trapped in this life","9","32","0","0","1"
"i’m dying to see that movie ","1","34","1","0","0"
"i’m dying to see that movie ","0","24","1","0","0"
"my student loans are the death of me","0","28","0","1","0"
"my boss is killing me with work","1","26","0","0","1"
"i feel trapped in this life","9","24","0","0","1"
"i feel trapped in this life","10","34","0","1","0"
"i’m drowning in debt and hopelessness","8","32","0","1","0"
"my student loans are the death of me","1","33","0","0","1"
"i feel trapped in this life","8","23","0","1","0"
"i’m dead tired after that shift","2","20","1","0","0"
"i feel trapped in this life","9","22","1","0","0"
"i’m dead tired after that shift","2","25","0","1","0"
"my boss is killing me with work","2","28","1","0","0"
"i feel trapped in this life","9","31","1","0","0"
"i’m dying to see that movie ","2","35","0","1","0"
"nobody cares, i could just vanish","10","28","1","0","0"
"i’m dead tired after that shift","0","32","1","0","0"
"i’m dying to see that movie vibes","1","20","0","1","0"
"my boss is killing me with work","1","34","0","0","1"
"my student loans are the death of me","1","21","0","1","0"
"i’m dying to see that movie vibes","0","26","0","1","0"
"i’m dying to see that movie ","1","25","1","0","0"
"i’m drowning in debt and hopelessness","10","29","0","1","0"
"i’m dead tired after that shift","1","35","1","0","0"
"my boss is killing me with work","2","26","1","0","0"
"i’m dying to see that movie vibes","1","22","0","1","0"
"my student loans are the death of me","2","20","1","0","0"
"nobody cares, i could just vanish","10","30","0","1","0"
"i’m dead tired after that shift","1","28","0","1","0"
"i feel trapped in this life","9","26","0","0","1"
"i’m dying to see that movie vibes","0","27","0","0","1"
"i’m so lost, what’s the point of this job?","9","24","0","1","0"
"i’m dying to see that movie ","1","24","1","0","0"
"my student loans are the death of me","2","31","1","0","0"
"my boss is killing me with work","0","28","0","0","1"
"i’m dead tired after that shift","0","28","0","0","1"
"my student loans are the death of me","0","25","1","0","0"
"my boss is killing me with work","1","21","0","1","0"
"i’m so lost, what’s the point of this job?","8","30","0","0","1"
"my student loans are the death of me","2","28","1","0","0"
"i’m so lost, what’s the point of this job?","8","23","1","0","0"
"my student loans are the death of me","1","22","0","0","1"
"i feel trapped in this life","10","31","0","1","0"
"nobody cares, i could just vanish","9","30","1","0","0"
"i’m drowning in debt and hopelessness","10","31","0","1","0"
"nobody cares, i could just vanish","8","28","0","1","0"
"i’m so lost, what’s the point of this job?","9","33","0","0","1"
"my student loans are the death of me","2","21","0","0","1"
"my student loans are the death of me","1","23","0","1","0"
"i’m dying to see that movie bruh","1","30","0","0","1"
"my boss is killing me with work","0","22","1","0","0"
"my boss is killing me with work","2","31","0","1","0"
"i’m dead tired after that shift","2","30","0","1","0"
"my boss is killing me with work","0","29","0","1","0"
"i’m dead tired after that shift","0","21","0","1","0"
"my boss is killing me with work","0","29","1","0","0"
"i’m drowning in debt and hopelessness","10","27","0","1","0"
"i’m dying to see that movie bruh","1","28","0","0","1"
"i’m dying to see that movie bruh","0","24","1","0","0"
"i’m dying to see that movie ","1","29","1","0","0"
"i’m dead tired after that shift","2","30","1","0","0"
"i’m dying to see that movie bruh","0","32","0","1","0"
"my student loans are the death of me","2","28","1","0","0"
"i’m dying to see that movie lit","1","24","0","1","0"
"i feel trapped in this life","10","29","0","1","0"
"my student loans are the death of me","1","24","0","0","1"
"i’m drowning in debt and hopelessness","9","20","0","1","0"
"i feel trapped in this life","9","24","1","0","0"
"my boss is killing me with work","2","35","1","0","0"
"i’m dead tired after that shift","1","31","0","0","1"
"i’m dying to see that movie lit","0","33","1","0","0"
"i’m dead tired after that shift","0","24","1","0","0"
"my boss is killing me with work","1","23","1","0","0"
"i’m dead tired after that shift","2","32","0","1","0"
"my student loans are the death of me","0","20","0","1","0"
"i’m dying to see that movie lit","1","26","0","1","0"
"my student loans are the death of me","1","34","0","0","1"
"i’m dying to see that movie vibes","1","35","1","0","0"
"i’m so lost, what’s the point of this job?","10","35","0","1","0"
"nobody cares, i could just vanish","9","35","1","0","0"
"my boss is killing me with work","0","26","0","1","0"
"i’m dead tired after that shift","1","32","0","1","0"
"i’m dead tired after that shift","0","33","0","1","0"
"my student loans are the death of me","2","26","1","0","0"
"i’m dying to see that movie lit","0","23","0","0","1"
"my boss is killing me with work","0","23","0","0","1"
"i’m dying to see that movie ","2","24","0","1","0"
"i’m dying to see that movie lit","0","24","1","0","0"
"i’m dead tired after that shift","0","35","1","0","0"
"i’m dying to see that movie vibes","2","35","1","0","0"
"i’m drowning in debt and hopelessness","8","27","0","0","1"
"i feel trapped in this life","10","31","0","1","0"
"i feel trapped in this life","8","26","0","0","1"
"my boss is killing me with work","1","25","0","1","0"
"i feel trapped in this life","10","28","1","0","0"
"my student loans are the death of me","1","31","0","1","0"
"i feel trapped in this life","10","28","0","1","0"
"nobody cares, i could just vanish","10","26","0","0","1"
"i’m dead tired after that shift","1","35","1","0","0"
"i’m dead tired after that shift","1","22","1","0","0"
"i’m dying to see that movie lit","2","33","1","0","0"
"i’m dying to see that movie vibes","2","22","1","0","0"
"i’m dead tired after that shift","1","21","0","0","1"
"i’m dead tired after that shift","0","24","0","1","0"
"i’m dead tired after that shift","0","33","0","1","0"
"my boss is killing me with work","2","26","1","0","0"
"i feel trapped in this life","9","27","1","0","0"
"my student loans are the death of me","2","33","0","0","1"
"i’m drowning in debt and hopelessness","9","28","0","0","1"
"i’m drowning in debt and hopelessness","10","32","1","0","0"
"my student loans are the death of me","1","20","0","0","1"
"i’m dying to see that movie ","1","34","0","0","1"
"my boss is killing me with work","1","22","1","0","0"
"my student loans are the death of me","1","33","0","0","1"
"i’m drowning in debt and hopelessness","10","20","0","1","0"
"my student loans are the death of me","1","27","1","0","0"
"i’m dead tired after that shift","1","35","0","1","0"
"my student loans are the death of me","2","21","0","1","0"
"my student loans are the death of me","0","33","0","1","0"
"my boss is killing me with work","1","22","0","1","0"
"i’m dying to see that movie lit","2","35","0","1","0"
"my boss is killing me with work","1","34","0","0","1"
"i’m dying to see that movie bruh","2","21","1","0","0"
"i’m so lost, what’s the point of this job?","8","33","1","0","0"
"i’m dead tired after that shift","0","22","0","1","0"
"i’m so lost, what’s the point of this job?","8","21","1","0","0"
"i’m dying to see that movie lit","2","30","1","0","0"
"i’m dying to see that movie vibes","2","30","0","0","1"
"i’m dying to see that movie bruh","1","25","1","0","0"
"i’m dead tired after that shift","0","35","1","0","0"
"i’m so lost, what’s the point of this job?","8","24","0","1","0"
"i feel trapped in this life","8","21","1","0","0"
"i’m dead tired after that shift","1","26","0","0","1"
"nobody cares, i could just vanish","9","30","0","0","1"
"my boss is killing me with work","2","26","0","1","0"
"i’m so lost, what’s the point of this job?","8","25","0","0","1"
"i’m dead tired after that shift","2","28","0","1","0"
"i’m dead tired after that shift","0","34","0","1","0"
"my student loans are the death of me","0","31","1","0","0"
"i’m dead tired after that shift","0","30","0","1","0"
"nobody cares, i could just vanish","9","34","0","1","0"
"i feel trapped in this life","8","34","0","0","1"
"my student loans are the death of me","2","31","0","1","0"
"i’m dead tired after that shift","1","29","1","0","0"
"my student loans are the death of me","2","22","0","1","0"
"i’m so lost, what’s the point of this job?","9","28","1","0","0"
"i’m dead tired after that shift","2","22","1","0","0"
"i’m dying to see that movie lit","1","26","1","0","0"
"my student loans are the death of me","0","23","0","1","0"
"my boss is killing me with work","2","21","0","1","0"
"i’m dead tired after that shift","2","34","0","1","0"
"nobody cares, i could just vanish","8","35","1","0","0"
"i’m dying to see that movie vibes","0","34","0","0","1"
"my student loans are the death of me","0","33","0","1","0"
"my boss is killing me with work","2","21","0","0","1"
"i’m dead tired after that shift","0","33","0","0","1"
"my boss is killing me with work","0","34","1","0","0"
"i feel trapped in this life","9","20","0","0","1"
"my student loans are the death of me","0","28","1","0","0"
"i’m dying to see that movie vibes","0","28","0","1","0"
"my student loans are the death of me","1","23","0","1","0"
"i feel trapped in this life","8","28","1","0","0"
"i’m drowning in debt and hopelessness","8","25","1","0","0"
"my student loans are the death of me","1","32","0","1","0"
"i’m so lost, what’s the point of this job?","8","20","0","1","0"
"my boss is killing me with work","2","22","0","1","0"
"nobody cares, i could just vanish","8","28","1","0","0"
"my student loans are the death of me","2","33","1","0","0"
"my boss is killing me with work","2","30","0","1","0"
"i’m drowning in debt and hopelessness","9","21","1","0","0"
"i’m drowning in debt and hopelessness","9","34","0","1","0"
"i’m drowning in debt and hopelessness","9","30","0","1","0"
"i’m dying to see that movie lit","0","28","0","1","0"
"my student loans are the death of me","0","25","1","0","0"
"i’m dead tired after that shift","2","30","0","1","0"
"i’m dying to see that movie lit","1","27","1","0","0"
"i feel trapped in this life","8","31","0","1","0"
"my student loans are the death of me","0","27","0","1","0"
"my student loans are the death of me","2","30","1","0","0"
"my student loans are the death of me","2","34","1","0","0"
"i’m dead tired after that shift","0","31","0","1","0"
"i’m drowning in debt and hopelessness","8","26","0","1","0"
"my boss is killing me with work","2","30","0","1","0"
"i’m dead tired after that shift","0","30","0","0","1"
"nobody cares, i could just vanish","9","32","1","0","0"
"my boss is killing me with work","0","27","0","1","0"
"i’m dying to see that movie bruh","1","28","0","1","0"
"i’m dying to see that movie lit","0","28","0","1","0"
"my boss is killing me with work","0","31","1","0","0"
"i’m dead tired after that shift","2","32","1","0","0"
"my boss is killing me with work","1","23","0","1","0"
"i’m dead tired after that shift","0","28","1","0","0"
"i’m so lost, what’s the point of this job?","9","30","1","0","0"
"i’m drowning in debt and hopelessness","8","28","0","1","0"
"i’m dead tired after that shift","2","23","1","0","0"
"my boss is killing me with work","1","28","0","1","0"
"i’m dead tired after that shift","0","27","1","0","0"
"i’m dead tired after that shift","2","25","0","0","1"
"i’m drowning in debt and hopelessness","9","32","1","0","0"
"i’m so lost, what’s the point of this job?","8","23","1","0","0"
"my boss is killing me with work","0","31","0","1","0"
"my boss is killing me with work","2","33","0","1","0"
"i’m so lost, what’s the point of this job?","10","31","0","0","1"
"i’m dead tired after that shift","2","28","0","0","1"
"i’m drowning in debt and hopelessness","9","31","1","0","0"
"i’m dead tired after that shift","0","33","1","0","0"
